facility_id,facility_name,country,region,revenue_usd,scope1_mtco2e,scope2_mtco2e,scope3_mtco2e_approx,total_mtco2e,emission_intensity_per_100k,esg_risk_rating,net_zero_target_year
22,Plant_E2,Germany,Africa,1871327.42,277.27989502046404,16238.188060333414,0.66719886701,16516.135154220887,882.5892774136174,Critical,2035
23,Plant_E3,Mexico,Africa,257694.3,298.88931046535595,16882.569870231677,0.05428565897999999,17181.51346635601,6667.401438974789,Critical,2040
24,Plant_E4,Brazil,LATAM,809023.79,397.9116401871119,11383.555608813236,1.8614555960000003,11783.328704596348,1456.4872937291927,Critical,2040
25,Plant_E5,Brazil,LATAM,184440.92,298.05932885900586,14611.00057492794,0.14938230674000003,14909.209286093686,8083.460701721551,Critical,2035
26,Plant_F1,Mexico,APAC,626704.46,282.27052929311856,9593.358955810678,1.9674095032,9877.596894606997,1576.1172171340536,Critical,2040
27,Plant_F2,Japan,EU-West,276117.29,334.1943234799142,8910.52198098819,0.14938230674000003,9244.865686774843,3348.16616763653,Critical,2035
28,Plant_F3,Japan,Africa,69431.5,264.8124332374827,12560.46983764553,0.14938230674000003,12825.431653189753,18472.064773467016,Critical,2030
29,Plant_F4,Mexico,EU-West,903387.91,274.33452962323,6586.267397757107,0.7463656918800001,6861.348293072217,759.5129641564736,Critical,2035
30,Plant_F5,Australia,North America,359605.95,268.79745150000514,10557.783044384225,1.9674095032,10828.547905387431,3011.2260115238446,Critical,2035
31,Plant_G1,UK,LATAM,204409.64,346.2522552729132,14841.874899454708,0.66719886701,15188.79435359463,7430.5665591870475,Critical,2035
32,Plant_G2,USA,EU-West,917605.69,325.8340161631057,4009.9019989639064,1.8614555960000003,4337.5974707230125,472.7082142137777,Critical,2030
33,Plant_G3,China,LATAM,1567435.04,258.65549646643666,15889.944971718234,0.7463656918800001,16149.346833876552,1030.3040586534644,Critical,2040
34,Plant_G4,Brazil,EU-West,532866.51,315.87714797966726,6637.709818867153,2.38487185718,6955.971838704,1305.3873171170019,Critical,2030
35,Plant_G5,Germany,APAC,145363.23,354.41364504401747,12495.1956407685,0.7463656918800001,12850.355651504398,8840.169313453202,Critical,2040
36,Plant_H1,UK,EU-West,231991.55,276.35327771233045,6639.602151421647,0.05428565897999999,6916.009714792957,2981.1472507481235,Critical,2030
37,Plant_H2,Mexico,LATAM,234633.46,319.95692716210067,10236.273983141471,0.7599413165,10556.990851620072,4499.354376660546,Critical,2040
38,Plant_H3,Australia,LATAM,129424.48,315.97970344009565,10336.48809527147,1.9674095032,10654.435208214767,8232.163813379639,Critical,2030
39,Plant_H4,Germany,North America,399351.0,303.33312474843734,11919.304372953598,0.7463656918800001,12223.383863393916,3060.8121335351398,Critical,2030
40,Plant_H5,China,LATAM,392823.64,281.5833228115084,15565.233858430589,2.38487185718,15849.202053099278,4034.6864188467066,Critical,2030
41,Plant_I1,India,EU-West,99881.19,268.09789301778875,9200.449710305413,1.8614555960000003,9470.4090589192,9481.674236079085,Critical,2030
42,Plant_I2,China,Africa,736596.64,305.91665552990287,14372.771146080473,1.8614555960000003,14680.549257206376,1993.0241953325194,Critical,2040
43,Plant_I3,Australia,Africa,429709.92,312.9199375770664,14467.62891820206,2.38487185718,14782.933727636306,3440.2123478174085,Critical,2040
44,Plant_I4,Canada,Africa,516463.0,280.03300065448315,15884.110116517824,0.7463656918800001,16164.889482864188,3129.9220820976893,Critical,2040
45,Plant_I5,China,APAC,2353394.79,284.02245564715764,10196.462325500206,2.38487185718,10482.869653004545,445.43608652267585,Critical,2030
46,Plant_J1,Mexico,North America,241889.54,340.7907037574023,11668.73049168713,0.14938230674000003,12009.670577751273,4964.940020867075,Critical,2030
47,Plant_J2,Japan,Africa,2210875.28,333.6487547651185,10649.61129719753,2.38487185718,10985.64492381983,496.8912097031466,Critical,2035
48,Plant_J3,USA,North America,226724.77,317.48063323871327,9799.444654079294,1.8614555960000003,10118.786742914006,4463.0265775168755,Critical,2040
49,Plant_J4,UK,Africa,1141596.36,290.6582401843948,13736.637702078824,0.14938230674000003,14027.445324569959,1228.75701220438,Critical,2035
50,Plant_J5,Japan,North America,3032055.31,302.16971587856665,11584.512174555848,0.05428565897999999,11886.736176093395,392.0355983246689,Critical,2040
